seg_file	seg_seq_name	sra_run	seg	genbank_acc	genbank_seg	genbank_name
SRR31605193_MP_cns.fa	Consensus_SRR31605193_MP_cns_threshold_0.5_quality_20	SRR31605193	MP	PV215146.1	7	A/cattle/CA/24-034698-002-original/2024
SRR31605193_MP_cns.fa	Consensus_SRR31605193_MP_cns_threshold_0.5_quality_20	SRR31605193	MP	PV160818.1	7	A/cattle/CA/24-034698-002-original/2024
SRR31605193_NA_cns.fa	Consensus_SRR31605193_NA_cns_threshold_0.5_quality_20	SRR31605193	NA	PV215145.1	6	A/cattle/CA/24-034698-002-original/2024
SRR31605193_NA_cns.fa	Consensus_SRR31605193_NA_cns_threshold_0.5_quality_20	SRR31605193	NA	PV160817.1	6	A/cattle/CA/24-034698-002-original/2024
SRR31605193_NP_cns.fa	Consensus_SRR31605193_NP_cns_threshold_0.5_quality_20	SRR31605193	NP	PV215144.1	5	A/cattle/CA/24-034698-002-original/2024
SRR31605193_NP_cns.fa	Consensus_SRR31605193_NP_cns_threshold_0.5_quality_20	SRR31605193	NP	PV160816.1	5	A/cattle/CA/24-034698-002-original/2024
SRR31605193_NS_cns.fa	Consensus_SRR31605193_NS_cns_threshold_0.5_quality_20	SRR31605193	NS	PV215147.1	8	A/cattle/CA/24-034698-002-original/2024
SRR31605193_NS_cns.fa	Consensus_SRR31605193_NS_cns_threshold_0.5_quality_20	SRR31605193	NS	PV160819.1	8	A/cattle/CA/24-034698-002-original/2024
SRR31605193_PA_cns.fa	Consensus_SRR31605193_PA_cns_threshold_0.5_quality_20	SRR31605193	PA	PV215142.1	3	A/cattle/CA/24-034698-002-original/2024
SRR31605193_PA_cns.fa	Consensus_SRR31605193_PA_cns_threshold_0.5_quality_20	SRR31605193	PA	PV160814.1	3	A/cattle/CA/24-034698-002-original/2024
SRR31605193_PB1_cns.fa	Consensus_SRR31605193_PB1_cns_threshold_0.5_quality_20	SRR31605193	PB1	PV215141.1	2	A/cattle/CA/24-034698-002-original/2024
SRR31605193_PB1_cns.fa	Consensus_SRR31605193_PB1_cns_threshold_0.5_quality_20	SRR31605193	PB1	PV160813.1	2	A/cattle/CA/24-034698-002-original/2024
SRR31605193_PB2_cns.fa	Consensus_SRR31605193_PB2_cns_threshold_0.5_quality_20	SRR31605193	PB2	PV215140.1	1	A/cattle/CA/24-034698-002-original/2024
SRR31605193_PB2_cns.fa	Consensus_SRR31605193_PB2_cns_threshold_0.5_quality_20	SRR31605193	PB2	PV160812.1	1	A/cattle/CA/24-034698-002-original/2024
SRR31605194_HA_cns.fa	Consensus_SRR31605194_HA_cns_threshold_0.5_quality_20	SRR31605194	HA	PV160783.1	4	A/cattle/CA/24-034646-001-original/2024
SRR31605194_HA_cns.fa	Consensus_SRR31605194_HA_cns_threshold_0.5_quality_20	SRR31605194	HA	PV215111.1	4	A/cattle/CA/24-034646-001-original/2024
SRR31605194_MP_cns.fa	Consensus_SRR31605194_MP_cns_threshold_0.5_quality_20	SRR31605194	MP	PV160786.1	7	A/cattle/CA/24-034646-001-original/2024
SRR31605194_MP_cns.fa	Consensus_SRR31605194_MP_cns_threshold_0.5_quality_20	SRR31605194	MP	PV215114.1	7	A/cattle/CA/24-034646-001-original/2024
SRR31605194_NA_cns.fa	Consensus_SRR31605194_NA_cns_threshold_0.5_quality_20	SRR31605194	NA	PV160785.1	6	A/cattle/CA/24-034646-001-original/2024
SRR31605194_NA_cns.fa	Consensus_SRR31605194_NA_cns_threshold_0.5_quality_20	SRR31605194	NA	PV215113.1	6	A/cattle/CA/24-034646-001-original/2024
SRR31605194_NP_cns.fa	Consensus_SRR31605194_NP_cns_threshold_0.5_quality_20	SRR31605194	NP	PV160784.1	5	A/cattle/CA/24-034646-001-original/2024
SRR31605194_NP_cns.fa	Consensus_SRR31605194_NP_cns_threshold_0.5_quality_20	SRR31605194	NP	PV215112.1	5	A/cattle/CA/24-034646-001-original/2024
SRR31605194_NS_cns.fa	Consensus_SRR31605194_NS_cns_threshold_0.5_quality_20	SRR31605194	NS	PV215115.1	8	A/cattle/CA/24-034646-001-original/2024
SRR31605194_NS_cns.fa	Consensus_SRR31605194_NS_cns_threshold_0.5_quality_20	SRR31605194	NS	PV160787.1	8	A/cattle/CA/24-034646-001-original/2024
SRR31605194_PA_cns.fa	Consensus_SRR31605194_PA_cns_threshold_0.5_quality_20	SRR31605194	PA	PV160782.1	3	A/cattle/CA/24-034646-001-original/2024
SRR31605194_PA_cns.fa	Consensus_SRR31605194_PA_cns_threshold_0.5_quality_20	SRR31605194	PA	PV215110.1	3	A/cattle/CA/24-034646-001-original/2024
SRR31605194_PB1_cns.fa	Consensus_SRR31605194_PB1_cns_threshold_0.5_quality_20	SRR31605194	PB1	PV160781.1	2	A/cattle/CA/24-034646-001-original/2024
SRR31605194_PB1_cns.fa	Consensus_SRR31605194_PB1_cns_threshold_0.5_quality_20	SRR31605194	PB1	PV215109.1	2	A/cattle/CA/24-034646-001-original/2024
SRR31605194_PB2_cns.fa	Consensus_SRR31605194_PB2_cns_threshold_0.5_quality_20	SRR31605194	PB2	PV160780.1	1	A/cattle/CA/24-034646-001-original/2024
SRR31605194_PB2_cns.fa	Consensus_SRR31605194_PB2_cns_threshold_0.5_quality_20	SRR31605194	PB2	PV215108.1	1	A/cattle/CA/24-034646-001-original/2024
SRR31605195_HA_cns.fa	Consensus_SRR31605195_HA_cns_threshold_0.5_quality_20	SRR31605195	HA	PQ843958.1	4	A/cattle/CA/24-034643-002-original/2024
SRR31605195_MP_cns.fa	Consensus_SRR31605195_MP_cns_threshold_0.5_quality_20	SRR31605195	MP	PQ843961.1	7	A/cattle/CA/24-034643-002-original/2024
SRR31605195_NA_cns.fa	Consensus_SRR31605195_NA_cns_threshold_0.5_quality_20	SRR31605195	NA	PQ843960.1	6	A/cattle/CA/24-034643-002-original/2024
SRR31605195_NP_cns.fa	Consensus_SRR31605195_NP_cns_threshold_0.5_quality_20	SRR31605195	NP	PQ843959.1	5	A/cattle/CA/24-034643-002-original/2024
SRR31605195_NS_cns.fa	Consensus_SRR31605195_NS_cns_threshold_0.5_quality_20	SRR31605195	NS	PQ843962.1	8	A/cattle/CA/24-034643-002-original/2024
SRR31605195_PA_cns.fa	Consensus_SRR31605195_PA_cns_threshold_0.5_quality_20	SRR31605195	PA	PQ843957.1	3	A/cattle/CA/24-034643-002-original/2024
SRR31605195_PB1_cns.fa	Consensus_SRR31605195_PB1_cns_threshold_0.5_quality_20	SRR31605195	PB1	PQ843956.1	2	A/cattle/CA/24-034643-002-original/2024
SRR31605195_PB2_cns.fa	Consensus_SRR31605195_PB2_cns_threshold_0.5_quality_20	SRR31605195	PB2	PQ843955.1	1	A/cattle/CA/24-034643-002-original/2024
SRR31605196_HA_cns.fa	Consensus_SRR31605196_HA_cns_threshold_0.5_quality_20	SRR31605196	HA	PQ829341.1	4	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_MP_cns.fa	Consensus_SRR31605196_MP_cns_threshold_0.5_quality_20	SRR31605196	MP	PQ829344.1	7	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_NA_cns.fa	Consensus_SRR31605196_NA_cns_threshold_0.5_quality_20	SRR31605196	NA	PQ829343.1	6	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_NP_cns.fa	Consensus_SRR31605196_NP_cns_threshold_0.5_quality_20	SRR31605196	NP	PQ829342.1	5	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_NS_cns.fa	Consensus_SRR31605196_NS_cns_threshold_0.5_quality_20	SRR31605196	NS	PQ829345.1	8	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_PA_cns.fa	Consensus_SRR31605196_PA_cns_threshold_0.5_quality_20	SRR31605196	PA	PQ829340.1	3	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_PB1_cns.fa	Consensus_SRR31605196_PB1_cns_threshold_0.5_quality_20	SRR31605196	PB1	PQ829339.1	2	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605196_PB2_cns.fa	Consensus_SRR31605196_PB2_cns_threshold_0.5_quality_20	SRR31605196	PB2	PQ829338.1	1	A/cattle/CA/24-034643-001-original-repeat/2024
SRR31605197_HA_cns.fa	Consensus_SRR31605197_HA_cns_threshold_0.5_quality_20	SRR31605197	HA	PV218713.1	4	A/cattle/CA/24-034696-002-original/2024
SRR31605197_MP_cns.fa	Consensus_SRR31605197_MP_cns_threshold_0.5_quality_20	SRR31605197	MP	PV218716.1	7	A/cattle/CA/24-034696-002-original/2024
SRR31605197_NA_cns.fa	Consensus_SRR31605197_NA_cns_threshold_0.5_quality_20	SRR31605197	NA	PV218715.1	6	A/cattle/CA/24-034696-002-original/2024
SRR31605197_NP_cns.fa	Consensus_SRR31605197_NP_cns_threshold_0.5_quality_20	SRR31605197	NP	PV218714.1	5	A/cattle/CA/24-034696-002-original/2024
SRR31605197_NS_cns.fa	Consensus_SRR31605197_NS_cns_threshold_0.5_quality_20	SRR31605197	NS	PV218717.1	8	A/cattle/CA/24-034696-002-original/2024
SRR31605197_PA_cns.fa	Consensus_SRR31605197_PA_cns_threshold_0.5_quality_20	SRR31605197	PA	PV218712.1	3	A/cattle/CA/24-034696-002-original/2024
SRR31605197_PB1_cns.fa	Consensus_SRR31605197_PB1_cns_threshold_0.5_quality_20	SRR31605197	PB1	PV218711.1	2	A/cattle/CA/24-034696-002-original/2024
SRR31605197_PB2_cns.fa	Consensus_SRR31605197_PB2_cns_threshold_0.5_quality_20	SRR31605197	PB2	PV218710.1	1	A/cattle/CA/24-034696-002-original/2024
SRR31605199_HA_cns.fa	Consensus_SRR31605199_HA_cns_threshold_0.5_quality_20	SRR31605199	HA	PV218705.1	4	A/cattle/CA/24-034696-001-original/2024
SRR31605199_MP_cns.fa	Consensus_SRR31605199_MP_cns_threshold_0.5_quality_20	SRR31605199	MP	PV218708.1	7	A/cattle/CA/24-034696-001-original/2024
SRR31605199_NA_cns.fa	Consensus_SRR31605199_NA_cns_threshold_0.5_quality_20	SRR31605199	NA	PV218707.1	6	A/cattle/CA/24-034696-001-original/2024
SRR31605199_NP_cns.fa	Consensus_SRR31605199_NP_cns_threshold_0.5_quality_20	SRR31605199	NP	PV218706.1	5	A/cattle/CA/24-034696-001-original/2024
SRR31605199_NS_cns.fa	Consensus_SRR31605199_NS_cns_threshold_0.5_quality_20	SRR31605199	NS	PV218709.1	8	A/cattle/CA/24-034696-001-original/2024
SRR31605199_PA_cns.fa	Consensus_SRR31605199_PA_cns_threshold_0.5_quality_20	SRR31605199	PA	PV218704.1	3	A/cattle/CA/24-034696-001-original/2024
SRR31605199_PB1_cns.fa	Consensus_SRR31605199_PB1_cns_threshold_0.5_quality_20	SRR31605199	PB1	PV218703.1	2	A/cattle/CA/24-034696-001-original/2024
SRR31605199_PB2_cns.fa	Consensus_SRR31605199_PB2_cns_threshold_0.5_quality_20	SRR31605199	PB2	PV218702.1	1	A/cattle/CA/24-034696-001-original/2024
SRR31605200_HA_cns.fa	Consensus_SRR31605200_HA_cns_threshold_0.5_quality_20	SRR31605200	HA	PV649235.1	4	A/cattle/CA/24-034695-001-original/2024
SRR31605200_MP_cns.fa	Consensus_SRR31605200_MP_cns_threshold_0.5_quality_20	SRR31605200	MP	PV649238.1	7	A/cattle/CA/24-034695-001-original/2024
SRR31605200_NA_cns.fa	Consensus_SRR31605200_NA_cns_threshold_0.5_quality_20	SRR31605200	NA	PV649237.1	6	A/cattle/CA/24-034695-001-original/2024
SRR31605200_NP_cns.fa	Consensus_SRR31605200_NP_cns_threshold_0.5_quality_20	SRR31605200	NP	PV649236.1	5	A/cattle/CA/24-034695-001-original/2024
SRR31605200_NS_cns.fa	Consensus_SRR31605200_NS_cns_threshold_0.5_quality_20	SRR31605200	NS	PV649239.1	8	A/cattle/CA/24-034695-001-original/2024
SRR31605200_PA_cns.fa	Consensus_SRR31605200_PA_cns_threshold_0.5_quality_20	SRR31605200	PA	PV649234.1	3	A/cattle/CA/24-034695-001-original/2024
SRR31605200_PB1_cns.fa	Consensus_SRR31605200_PB1_cns_threshold_0.5_quality_20	SRR31605200	PB1	PV649233.1	2	A/cattle/CA/24-034695-001-original/2024
SRR31605200_PB2_cns.fa	Consensus_SRR31605200_PB2_cns_threshold_0.5_quality_20	SRR31605200	PB2	PV649232.1	1	A/cattle/CA/24-034695-001-original/2024
SRR31605202_HA_cns.fa	Consensus_SRR31605202_HA_cns_threshold_0.5_quality_20	SRR31605202	HA	PV949479.1	4	A/cattle/CA/24-034694-003-original/2024
SRR31605202_MP_cns.fa	Consensus_SRR31605202_MP_cns_threshold_0.5_quality_20	SRR31605202	MP	PV949482.1	7	A/cattle/CA/24-034694-003-original/2024
SRR31605202_NA_cns.fa	Consensus_SRR31605202_NA_cns_threshold_0.5_quality_20	SRR31605202	NA	PV949481.1	6	A/cattle/CA/24-034694-003-original/2024
SRR31605202_NP_cns.fa	Consensus_SRR31605202_NP_cns_threshold_0.5_quality_20	SRR31605202	NP	PV949480.1	5	A/cattle/CA/24-034694-003-original/2024
SRR31605202_NS_cns.fa	Consensus_SRR31605202_NS_cns_threshold_0.5_quality_20	SRR31605202	NS	PV949483.1	8	A/cattle/CA/24-034694-003-original/2024
SRR31605202_PA_cns.fa	Consensus_SRR31605202_PA_cns_threshold_0.5_quality_20	SRR31605202	PA	PV949478.1	3	A/cattle/CA/24-034694-003-original/2024
SRR31605202_PB1_cns.fa	Consensus_SRR31605202_PB1_cns_threshold_0.5_quality_20	SRR31605202	PB1	PV949477.1	2	A/cattle/CA/24-034694-003-original/2024
SRR31605202_PB2_cns.fa	Consensus_SRR31605202_PB2_cns_threshold_0.5_quality_20	SRR31605202	PB2	PV949476.1	1	A/cattle/CA/24-034694-003-original/2024
SRR31605203_HA_cns.fa	Consensus_SRR31605203_HA_cns_threshold_0.5_quality_20	SRR31605203	HA	PQ833293.1	4	A/chicken/CA/24-033225-003-original/2024
SRR31605203_MP_cns.fa	Consensus_SRR31605203_MP_cns_threshold_0.5_quality_20	SRR31605203	MP	PQ833296.1	7	A/chicken/CA/24-033225-003-original/2024
SRR31605203_NA_cns.fa	Consensus_SRR31605203_NA_cns_threshold_0.5_quality_20	SRR31605203	NA	PQ833295.1	6	A/chicken/CA/24-033225-003-original/2024
SRR31605203_NP_cns.fa	Consensus_SRR31605203_NP_cns_threshold_0.5_quality_20	SRR31605203	NP	PQ833294.1	5	A/chicken/CA/24-033225-003-original/2024
SRR31605203_NS_cns.fa	Consensus_SRR31605203_NS_cns_threshold_0.5_quality_20	SRR31605203	NS	PQ833297.1	8	A/chicken/CA/24-033225-003-original/2024
SRR31605203_PA_cns.fa	Consensus_SRR31605203_PA_cns_threshold_0.5_quality_20	SRR31605203	PA	PQ833292.1	3	A/chicken/CA/24-033225-003-original/2024
SRR31605203_PB1_cns.fa	Consensus_SRR31605203_PB1_cns_threshold_0.5_quality_20	SRR31605203	PB1	PQ833291.1	2	A/chicken/CA/24-033225-003-original/2024
SRR31605203_PB2_cns.fa	Consensus_SRR31605203_PB2_cns_threshold_0.5_quality_20	SRR31605203	PB2	PQ833290.1	1	A/chicken/CA/24-033225-003-original/2024
SRR31605204_HA_cns.fa	Consensus_SRR31605204_HA_cns_threshold_0.5_quality_20	SRR31605204	HA	PV949471.1	4	A/cattle/CA/24-034694-001-original/2024
SRR31605204_MP_cns.fa	Consensus_SRR31605204_MP_cns_threshold_0.5_quality_20	SRR31605204	MP	PV949474.1	7	A/cattle/CA/24-034694-001-original/2024
SRR31605204_NA_cns.fa	Consensus_SRR31605204_NA_cns_threshold_0.5_quality_20	SRR31605204	NA	PV949473.1	6	A/cattle/CA/24-034694-001-original/2024
SRR31605204_NP_cns.fa	Consensus_SRR31605204_NP_cns_threshold_0.5_quality_20	SRR31605204	NP	PV949472.1	5	A/cattle/CA/24-034694-001-original/2024
SRR31605204_NS_cns.fa	Consensus_SRR31605204_NS_cns_threshold_0.5_quality_20	SRR31605204	NS	PV949475.1	8	A/cattle/CA/24-034694-001-original/2024
SRR31605204_PA_cns.fa	Consensus_SRR31605204_PA_cns_threshold_0.5_quality_20	SRR31605204	PA	PV949470.1	3	A/cattle/CA/24-034694-001-original/2024
SRR31605204_PB1_cns.fa	Consensus_SRR31605204_PB1_cns_threshold_0.5_quality_20	SRR31605204	PB1	PV949469.1	2	A/cattle/CA/24-034694-001-original/2024
SRR31605204_PB2_cns.fa	Consensus_SRR31605204_PB2_cns_threshold_0.5_quality_20	SRR31605204	PB2	PV949468.1	1	A/cattle/CA/24-034694-001-original/2024
SRR31605205_HA_cns.fa	Consensus_SRR31605205_HA_cns_threshold_0.5_quality_20	SRR31605205	HA	PV456520.1	4	A/cattle/CA/24-034693-001-original/2024
SRR31605205_MP_cns.fa	Consensus_SRR31605205_MP_cns_threshold_0.5_quality_20	SRR31605205	MP	PV456523.1	7	A/cattle/CA/24-034693-001-original/2024
SRR31605205_NA_cns.fa	Consensus_SRR31605205_NA_cns_threshold_0.5_quality_20	SRR31605205	NA	PV456522.1	6	A/cattle/CA/24-034693-001-original/2024
SRR31605205_NP_cns.fa	Consensus_SRR31605205_NP_cns_threshold_0.5_quality_20	SRR31605205	NP	PV456521.1	5	A/cattle/CA/24-034693-001-original/2024
SRR31605205_NS_cns.fa	Consensus_SRR31605205_NS_cns_threshold_0.5_quality_20	SRR31605205	NS	PV456524.1	8	A/cattle/CA/24-034693-001-original/2024
SRR31605205_PA_cns.fa	Consensus_SRR31605205_PA_cns_threshold_0.5_quality_20	SRR31605205	PA	PV456519.1	3	A/cattle/CA/24-034693-001-original/2024
SRR31605205_PB1_cns.fa	Consensus_SRR31605205_PB1_cns_threshold_0.5_quality_20	SRR31605205	PB1	PV456518.1	2	A/cattle/CA/24-034693-001-original/2024
SRR31605205_PB2_cns.fa	Consensus_SRR31605205_PB2_cns_threshold_0.5_quality_20	SRR31605205	PB2	PV456517.1	1	A/cattle/CA/24-034693-001-original/2024
SRR31605206_HA_cns.fa	Consensus_SRR31605206_HA_cns_threshold_0.5_quality_20	SRR31605206	HA	PV160799.1	4	A/cattle/CA/24-034692-001-original/2024
SRR31605206_HA_cns.fa	Consensus_SRR31605206_HA_cns_threshold_0.5_quality_20	SRR31605206	HA	PV215127.1	4	A/cattle/CA/24-034692-001-original/2024
SRR31605206_MP_cns.fa	Consensus_SRR31605206_MP_cns_threshold_0.5_quality_20	SRR31605206	MP	PV215130.1	7	A/cattle/CA/24-034692-001-original/2024
SRR31605206_MP_cns.fa	Consensus_SRR31605206_MP_cns_threshold_0.5_quality_20	SRR31605206	MP	PV160802.1	7	A/cattle/CA/24-034692-001-original/2024
SRR31605206_NA_cns.fa	Consensus_SRR31605206_NA_cns_threshold_0.5_quality_20	SRR31605206	NA	PV215129.1	6	A/cattle/CA/24-034692-001-original/2024
SRR31605206_NA_cns.fa	Consensus_SRR31605206_NA_cns_threshold_0.5_quality_20	SRR31605206	NA	PV160801.1	6	A/cattle/CA/24-034692-001-original/2024
SRR31605206_NP_cns.fa	Consensus_SRR31605206_NP_cns_threshold_0.5_quality_20	SRR31605206	NP	PV160800.1	5	A/cattle/CA/24-034692-001-original/2024
SRR31605206_NP_cns.fa	Consensus_SRR31605206_NP_cns_threshold_0.5_quality_20	SRR31605206	NP	PV215128.1	5	A/cattle/CA/24-034692-001-original/2024
SRR31605206_NS_cns.fa	Consensus_SRR31605206_NS_cns_threshold_0.5_quality_20	SRR31605206	NS	PV160803.1	8	A/cattle/CA/24-034692-001-original/2024
SRR31605206_NS_cns.fa	Consensus_SRR31605206_NS_cns_threshold_0.5_quality_20	SRR31605206	NS	PV215131.1	8	A/cattle/CA/24-034692-001-original/2024
SRR31605206_PA_cns.fa	Consensus_SRR31605206_PA_cns_threshold_0.5_quality_20	SRR31605206	PA	PV160798.1	3	A/cattle/CA/24-034692-001-original/2024
SRR31605206_PA_cns.fa	Consensus_SRR31605206_PA_cns_threshold_0.5_quality_20	SRR31605206	PA	PV215126.1	3	A/cattle/CA/24-034692-001-original/2024
SRR31605206_PB1_cns.fa	Consensus_SRR31605206_PB1_cns_threshold_0.5_quality_20	SRR31605206	PB1	PV160797.1	2	A/cattle/CA/24-034692-001-original/2024
SRR31605206_PB1_cns.fa	Consensus_SRR31605206_PB1_cns_threshold_0.5_quality_20	SRR31605206	PB1	PV215125.1	2	A/cattle/CA/24-034692-001-original/2024
SRR31605206_PB2_cns.fa	Consensus_SRR31605206_PB2_cns_threshold_0.5_quality_20	SRR31605206	PB2	PV160796.1	1	A/cattle/CA/24-034692-001-original/2024
SRR31605206_PB2_cns.fa	Consensus_SRR31605206_PB2_cns_threshold_0.5_quality_20	SRR31605206	PB2	PV215124.1	1	A/cattle/CA/24-034692-001-original/2024
SRR31605208_HA_cns.fa	Consensus_SRR31605208_HA_cns_threshold_0.5_quality_20	SRR31605208	HA	PV493637.1	4	A/cattle/CA/24-034688-001-original/2024
SRR31605208_MP_cns.fa	Consensus_SRR31605208_MP_cns_threshold_0.5_quality_20	SRR31605208	MP	PV493640.1	7	A/cattle/CA/24-034688-001-original/2024
SRR31605208_NA_cns.fa	Consensus_SRR31605208_NA_cns_threshold_0.5_quality_20	SRR31605208	NA	PV493639.1	6	A/cattle/CA/24-034688-001-original/2024
SRR31605208_NP_cns.fa	Consensus_SRR31605208_NP_cns_threshold_0.5_quality_20	SRR31605208	NP	PV493638.1	5	A/cattle/CA/24-034688-001-original/2024
SRR31605208_NS_cns.fa	Consensus_SRR31605208_NS_cns_threshold_0.5_quality_20	SRR31605208	NS	PV493641.1	8	A/cattle/CA/24-034688-001-original/2024
SRR31605208_PA_cns.fa	Consensus_SRR31605208_PA_cns_threshold_0.5_quality_20	SRR31605208	PA	PV493636.1	3	A/cattle/CA/24-034688-001-original/2024
SRR31605208_PB1_cns.fa	Consensus_SRR31605208_PB1_cns_threshold_0.5_quality_20	SRR31605208	PB1	PV493635.1	2	A/cattle/CA/24-034688-001-original/2024
SRR31605208_PB2_cns.fa	Consensus_SRR31605208_PB2_cns_threshold_0.5_quality_20	SRR31605208	PB2	PV493634.1	1	A/cattle/CA/24-034688-001-original/2024
SRR31605209_HA_cns.fa	Consensus_SRR31605209_HA_cns_threshold_0.5_quality_20	SRR31605209	HA	PV215119.1	4	A/cattle/CA/24-034656-001-original/2024
SRR31605209_HA_cns.fa	Consensus_SRR31605209_HA_cns_threshold_0.5_quality_20	SRR31605209	HA	PV160791.1	4	A/cattle/CA/24-034656-001-original/2024
SRR31605209_MP_cns.fa	Consensus_SRR31605209_MP_cns_threshold_0.5_quality_20	SRR31605209	MP	PV215122.1	7	A/cattle/CA/24-034656-001-original/2024
SRR31605209_MP_cns.fa	Consensus_SRR31605209_MP_cns_threshold_0.5_quality_20	SRR31605209	MP	PV160794.1	7	A/cattle/CA/24-034656-001-original/2024
SRR31605209_NA_cns.fa	Consensus_SRR31605209_NA_cns_threshold_0.5_quality_20	SRR31605209	NA	PV215121.1	6	A/cattle/CA/24-034656-001-original/2024
SRR31605209_NA_cns.fa	Consensus_SRR31605209_NA_cns_threshold_0.5_quality_20	SRR31605209	NA	PV160793.1	6	A/cattle/CA/24-034656-001-original/2024
SRR31605209_NP_cns.fa	Consensus_SRR31605209_NP_cns_threshold_0.5_quality_20	SRR31605209	NP	PV215120.1	5	A/cattle/CA/24-034656-001-original/2024
SRR31605209_NP_cns.fa	Consensus_SRR31605209_NP_cns_threshold_0.5_quality_20	SRR31605209	NP	PV160792.1	5	A/cattle/CA/24-034656-001-original/2024
SRR31605209_NS_cns.fa	Consensus_SRR31605209_NS_cns_threshold_0.5_quality_20	SRR31605209	NS	PV215123.1	8	A/cattle/CA/24-034656-001-original/2024
SRR31605209_NS_cns.fa	Consensus_SRR31605209_NS_cns_threshold_0.5_quality_20	SRR31605209	NS	PV160795.1	8	A/cattle/CA/24-034656-001-original/2024
SRR31605209_PA_cns.fa	Consensus_SRR31605209_PA_cns_threshold_0.5_quality_20	SRR31605209	PA	PV160790.1	3	A/cattle/CA/24-034656-001-original/2024
SRR31605209_PA_cns.fa	Consensus_SRR31605209_PA_cns_threshold_0.5_quality_20	SRR31605209	PA	PV215118.1	3	A/cattle/CA/24-034656-001-original/2024
SRR31605209_PB1_cns.fa	Consensus_SRR31605209_PB1_cns_threshold_0.5_quality_20	SRR31605209	PB1	PV215117.1	2	A/cattle/CA/24-034656-001-original/2024
SRR31605209_PB1_cns.fa	Consensus_SRR31605209_PB1_cns_threshold_0.5_quality_20	SRR31605209	PB1	PV160789.1	2	A/cattle/CA/24-034656-001-original/2024
SRR31605209_PB2_cns.fa	Consensus_SRR31605209_PB2_cns_threshold_0.5_quality_20	SRR31605209	PB2	PV215116.1	1	A/cattle/CA/24-034656-001-original/2024
SRR31605209_PB2_cns.fa	Consensus_SRR31605209_PB2_cns_threshold_0.5_quality_20	SRR31605209	PB2	PV160788.1	1	A/cattle/CA/24-034656-001-original/2024
SRR31605210_HA_cns.fa	Consensus_SRR31605210_HA_cns_threshold_0.5_quality_20	SRR31605210	HA	PV615805.1	4	A/cattle/CA/24-034654-001-original/2024
SRR31605210_MP_cns.fa	Consensus_SRR31605210_MP_cns_threshold_0.5_quality_20	SRR31605210	MP	PV615808.1	7	A/cattle/CA/24-034654-001-original/2024
SRR31605210_NA_cns.fa	Consensus_SRR31605210_NA_cns_threshold_0.5_quality_20	SRR31605210	NA	PV615807.1	6	A/cattle/CA/24-034654-001-original/2024
SRR31605210_NP_cns.fa	Consensus_SRR31605210_NP_cns_threshold_0.5_quality_20	SRR31605210	NP	PV615806.1	5	A/cattle/CA/24-034654-001-original/2024
SRR31605210_NS_cns.fa	Consensus_SRR31605210_NS_cns_threshold_0.5_quality_20	SRR31605210	NS	PV615809.1	8	A/cattle/CA/24-034654-001-original/2024
SRR31605210_PA_cns.fa	Consensus_SRR31605210_PA_cns_threshold_0.5_quality_20	SRR31605210	PA	PV615804.1	3	A/cattle/CA/24-034654-001-original/2024
SRR31605210_PB1_cns.fa	Consensus_SRR31605210_PB1_cns_threshold_0.5_quality_20	SRR31605210	PB1	PV615803.1	2	A/cattle/CA/24-034654-001-original/2024
SRR31605210_PB2_cns.fa	Consensus_SRR31605210_PB2_cns_threshold_0.5_quality_20	SRR31605210	PB2	PV615802.1	1	A/cattle/CA/24-034654-001-original/2024
SRR31605211_HA_cns.fa	Consensus_SRR31605211_HA_cns_threshold_0.5_quality_20	SRR31605211	HA	PV060433.1	4	A/cattle/CA/24-034653-002-original/2024
SRR31605211_MP_cns.fa	Consensus_SRR31605211_MP_cns_threshold_0.5_quality_20	SRR31605211	MP	PV060436.1	7	A/cattle/CA/24-034653-002-original/2024
SRR31605211_NA_cns.fa	Consensus_SRR31605211_NA_cns_threshold_0.5_quality_20	SRR31605211	NA	PV060435.1	6	A/cattle/CA/24-034653-002-original/2024
SRR31605211_NP_cns.fa	Consensus_SRR31605211_NP_cns_threshold_0.5_quality_20	SRR31605211	NP	PV060434.1	5	A/cattle/CA/24-034653-002-original/2024
SRR31605211_NS_cns.fa	Consensus_SRR31605211_NS_cns_threshold_0.5_quality_20	SRR31605211	NS	PV060437.1	8	A/cattle/CA/24-034653-002-original/2024
SRR31605211_PA_cns.fa	Consensus_SRR31605211_PA_cns_threshold_0.5_quality_20	SRR31605211	PA	PV060432.1	3	A/cattle/CA/24-034653-002-original/2024
SRR31605211_PB1_cns.fa	Consensus_SRR31605211_PB1_cns_threshold_0.5_quality_20	SRR31605211	PB1	PV060431.1	2	A/cattle/CA/24-034653-002-original/2024
SRR31605211_PB2_cns.fa	Consensus_SRR31605211_PB2_cns_threshold_0.5_quality_20	SRR31605211	PB2	PV060430.1	1	A/cattle/CA/24-034653-002-original/2024
