sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR24839129	2025-05-09_10-45-31	SRR24839129.fa	B3.2	NA:ea1, HA:ea1, NP:am1.4.1, MP:ea1, PA:ea1, PB2:am2.1, PB1:am1.2, NS:am1.1	ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS	99.79%, 99.82%, 99.93%, 99.80%, 99.72%, 99.78%, 99.96%, 100.00%	3, 3, 1, 2, 6, 5, 1, 0	Ran on FASTA - No Coverage Report
SRR31596891	2025-05-09_10-49-22	SRR31596891.fa	D1.1	PB2:am24, NP:am13, PA:am4, NS:ea3, HA:ea3, NA:am4N1, PB1:ea3, MP:ea3	am24:24-030039-001:PB2, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP	99.96%, 99.80%, 99.81%, 98.93%, 99.59%, 99.47%, 99.43%, 99.80%	1, 3, 4, 9, 7, 6, 13, 2	Ran on FASTA - No Coverage Report
SRR32973984	2025-05-09_10-52-35	SRR32973984.fa	D1.1	NA:am4N1, MP:ea3, NS:ea3, PB2:am24, NP:am13, HA:ea3, PA:am4, PB1:ea3	am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:NS, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:PB1	99.23%, 99.59%, 99.17%, 99.74%, 99.67%, 99.47%, 99.72%, 99.16%	8, 4, 7, 6, 5, 9, 6, 19	Ran on FASTA - No Coverage Report
SRR24843012	2025-05-09_10-46-32	SRR24843012.fa	A1	HA:ea1, PB2:ea1, NP:ea1, NA:ea1, MP:ea1, PB1:ea1, NS:ea1, PA:ea1	ea1:22-003707-003:HA, ea1:22-003707-003:PB2, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:PA	99.71%, 99.80%, 99.27%, 99.86%, 99.80%, 99.87%, 99.64%, 99.67%	5, 3, 11, 2, 2, 3, 3, 7	Ran on FASTA - No Coverage Report
SRR31821196	2025-05-09_10-50-43	SRR31821196.fa	B3.13	HA:ea1, PB1:am4, PA:ea1, NA:ea1, NP:am8, NS:am1.1, MP:ea1, PB2:am2.2	ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2	98.30%, 99.47%, 98.79%, 98.94%, 98.93%, 99.17%, 98.98%, 98.68%	29, 12, 26, 15, 16, 7, 10, 30	Ran on FASTA - No Coverage Report
SRR28912818	2025-05-09_10-47-36	SRR28912818.fa	B3.13	NP:am8, PB1:am4, NS:am1.1, PA:ea1, MP:ea1, HA:ea1, NA:ea1, PB2:am2.2	am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2	99.33%, 99.56%, 99.05%, 99.12%, 98.88%, 98.71%, 99.08%, 98.82%	10, 10, 8, 19, 11, 22, 13, 27	Ran on FASTA - No Coverage Report
SRR24839503	2025-05-09_10-45-54	SRR24839503.fa	A1	PB1:ea1, PB2:ea1, PA:ea1, NS:ea1, MP:ea1, NA:ea1, NP:ea1, HA:ea1	ea1:22-003707-003:PB1, ea1:22-003707-003:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:NP, ea1:22-003707-003:HA	99.82%, 99.80%, 100.00%, 99.88%, 99.80%, 99.86%, 100.00%, 99.82%	4, 3, 0, 1, 2, 2, 0, 3	Ran on FASTA - No Coverage Report
SRR29740688	2025-05-09_10-48-33	SRR29740688.fa	B3.13	MP:ea1, PB1:am4, NP:am8, NA:ea1, NS:am1.1, PA:ea1, PB2:am2.2, HA:ea1	ea1:22-003707-003:MP, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA	98.78%, 99.52%, 99.40%, 99.01%, 99.28%, 99.02%, 98.82%, 98.65%	12, 11, 9, 14, 6, 21, 27, 23	Ran on FASTA - No Coverage Report
SRR32226913	2025-05-09_10-50-24	SRR32226913.fa	D1.1	PA:am4, PB1:ea3, NS:ea3, NP:am13, MP:ea3, PB2:am24, HA:ea3, NA:am4N1	am4:24-030039-001:PA, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am13:24-030039-001:NP, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am4N1:24-030039-001:NA	99.63%, 99.17%, 98.81%, 99.80%, 99.90%, 99.78%, 99.41%, 99.29%	8, 15, 10, 3, 1, 5, 10, 8	Ran on FASTA - No Coverage Report
SRR24842917	2025-05-09_10-46-24	SRR24842917.fa	B2.1	MP:ea1, PB2:am1.2, HA:ea1, NP:am1.1, NA:ea1, PB1:ea1, NS:ea1, PA:ea1	ea1:22-003707-003:MP, am1.2:22-007805-001:PB2, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:PA	99.80%, 99.96%, 99.88%, 99.93%, 99.72%, 99.91%, 99.64%, 99.86%	2, 1, 2, 1, 4, 2, 3, 3	Ran on FASTA - No Coverage Report
SRR24843107	2025-05-09_10-46-40	SRR24843107.fa	B1.1	NP:am1.2, HA:ea1, PB1:am1.1, MP:ea1, PB2:am1.1, PA:ea1, NA:ea1, NS:ea1	am1.2:22-009287-001:NP, ea1:22-003707-003:HA, am1.1:22-009287-001:PB1, ea1:22-003707-003:MP, am1.1:22-009287-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:NS	99.67%, 99.77%, 99.78%, 99.90%, 99.74%, 99.63%, 99.86%, 99.88%	5, 4, 5, 1, 6, 8, 2, 1	Ran on FASTA - No Coverage Report
SRR24843140	2025-05-09_10-46-43	SRR24843140.fa	B2.1	PB1:ea1, NP:am1.1, PB2:am1.2, PA:ea1, HA:ea1, NA:ea1, MP:ea1, NS:ea1	ea1:22-003707-003:PB1, am1.1:22-007805-001:NP, am1.2:22-007805-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:NS	99.91%, 100.00%, 99.87%, 99.95%, 99.88%, 99.93%, 100.00%, 99.88%	2, 0, 3, 1, 2, 1, 0, 1	Ran on FASTA - No Coverage Report
SRR32654170	2025-05-09_10-49-09	SRR32654170.fa	D1.1	PA:am4, PB2:am24, NP:am13, MP:ea3, HA:ea3, NA:am4N1, PB1:ea3, NS:ea3	am4:24-030039-001:PA, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:NS	99.67%, 99.78%, 99.67%, 99.69%, 99.30%, 99.42%, 99.50%, 98.93%	7, 5, 5, 3, 12, 6, 9, 9	Ran on FASTA - No Coverage Report
SRR31820798	2025-05-09_10-50-26	SRR31820798.fa	B3.13	PB1:am4, HA:ea1, NA:ea1, MP:ea1, NS:am1.1, NP:am8, PB2:am2.2, PA:ea1	am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA	99.21%, 98.24%, 98.58%, 98.78%, 98.81%, 99.27%, 98.60%, 99.12%	18, 30, 20, 12, 10, 11, 32, 19	Ran on FASTA - No Coverage Report
SRR32654035	2025-05-09_10-51-54	SRR32654035.fa	D1.1	PB1:ea3, HA:ea3, PA:am4, PB2:am24, MP:ea3, NS:ea3, NA:am4N1, NP:am13	ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:MP, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am13:24-030039-001:NP	99.39%, 99.41%, 99.86%, 99.74%, 99.80%, 98.93%, 99.52%, 99.80%	11, 10, 3, 6, 2, 9, 5, 3	Ran on FASTA - No Coverage Report
SRR31596877	2025-05-09_10-49-45	SRR31596877.fa	A3	PA:ea3, PB2:ea3, NS:ea3, MP:ea3, HA:ea3, NP:ea3, PB1:ea3, NA:ea3	ea3:22-013001-001:PA, ea3:22-013001-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:MP, ea3:22-013001-001:HA, ea3:22-013001-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:NA	99.58%, 99.74%, 99.64%, 99.90%, 99.59%, 99.53%, 99.69%, 99.08%	9, 2, 3, 1, 7, 7, 7, 13	Ran on FASTA - No Coverage Report
SRR24839531	2025-05-09_10-45-58	SRR24839531.fa	B2.1	PB1:ea1, PA:ea1, HA:ea1, MP:ea1, NP:am1.1, PB2:am1.2, NS:ea1, NA:ea1	ea1:22-003707-003:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am1.1:22-007805-001:NP, am1.2:22-007805-001:PB2, ea1:22-003707-003:NS, ea1:22-003707-003:NA	99.96%, 99.81%, 99.88%, 99.90%, 100.00%, 100.00%, 99.88%, 99.93%	1, 4, 2, 1, 0, 0, 1, 1	Ran on FASTA - No Coverage Report
SRR31914642	2025-05-09_10-47-19	SRR31914642.fa	B3.13	PA:ea1, PB1:am4, PB2:am2.2, NS:am1.1, MP:ea1, NP:am8, NA:ea1, HA:ea1	ea1:22-003707-003:PA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:HA	99.02%, 99.52%, 98.51%, 98.93%, 98.88%, 99.00%, 98.72%, 98.42%	21, 11, 34, 9, 11, 15, 18, 27	Ran on FASTA - No Coverage Report
SRR32654076	2025-05-09_10-51-56	SRR32654076.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	MP:ea3, NA:ea3, PA:am7, NS:ea3, HA:ea3	ea3:22-013001-001:MP, ea3:22-013001-001:NA, am7:24-037793-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:HA	99.90%, 98.53%, 100.00%, 99.52%, 99.53%	1, 19, 0, 4, 8	Ran on FASTA - No Coverage Report
SRR24843215	2025-05-09_10-46-49	SRR24843215.fa	B4.1	PA:ea1, PB1:ea1, NP:am1.3, HA:ea1, PB2:am2.2, NS:ea1, NA:ea1, MP:ea1	ea1:22-003707-003:PA, ea1:22-003707-003:PB1, am1.3:22-010445-001:NP, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:MP	99.91%, 99.91%, 99.87%, 99.82%, 99.96%, 99.64%, 99.79%, 100.00%	2, 2, 2, 3, 1, 3, 3, 0	Ran on FASTA - No Coverage Report
SRR30811261	2025-05-09_10-49-01	SRR30811261.fa	B3.13	PB2:am2.2, PA:ea1, MP:ea1, HA:ea1, NS:am1.1, PB1:am4, NP:am8, NA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:NA	98.73%, 99.07%, 98.78%, 98.47%, 98.81%, 99.56%, 99.27%, 99.08%	29, 20, 12, 26, 10, 10, 11, 13	Ran on FASTA - No Coverage Report
SRR31347731	2025-05-09_10-49-40	SRR31347731.fa	B3.13	NP:am8, MP:ea1, PB1:am4, HA:ea1, PA:ea1, NS:am1.1, NA:ea1, PB2:am2.2	am8:23-032005-001:NP, ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2	99.00%, 98.78%, 99.47%, 98.47%, 98.98%, 99.05%, 98.94%, 98.64%	15, 12, 12, 26, 22, 8, 15, 31	Ran on FASTA - No Coverage Report
SRR32633083	2025-05-09_10-51-28	SRR32633083.fa	B3.13	NP:am8, NA:ea1, HA:ea1, PA:ea1, NS:am1.1, MP:ea1, PB2:am2.2, PB1:am4	am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1	98.93%, 98.94%, 98.59%, 99.02%, 99.05%, 98.88%, 98.55%, 99.52%	16, 15, 24, 21, 8, 11, 33, 11	Ran on FASTA - No Coverage Report
SRR32974010	2025-05-09_10-52-30	SRR32974010.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	NS:am5, NP:am8, MP:am1, PB2:am2.2, NA:am4N1	am16:23-036193-014:PB1, am5:24-001196-005:NS, am7:24-037793-001:PA, am8:23-032005-001:NP, am1:24-032138-001:MP, am2.2:22-010445-001:PB2, am4N1:24-030039-001:NA	96.61%, 98.19%, 97.26%, 98.80%, 98.06%, 98.47%, 98.24%	77, 4, 59, 18, 19, 35, 20	Ran on FASTA - No Coverage Report
SRR31254283	2025-05-09_10-48-57	SRR31254283.fa	B3.13	NA:ea1, HA:ea1, MP:ea1, NS:am1.1, PB2:am2.2, PA:ea1, NP:am8, PB1:am4	ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am8:23-032005-001:NP, am4:23-001855-001:PB1	98.86%, 98.53%, 98.98%, 99.05%, 98.64%, 99.07%, 99.06%, 99.47%	16, 25, 10, 8, 31, 20, 14, 12	Ran on FASTA - No Coverage Report
SRR28912816	2025-05-09_10-47-22	SRR28912816.fa	B3.13	NP:am8, NS:am1.1, MP:ea1, NA:ea1, PA:ea1, PB1:am4, HA:ea1, PB2:am2.2	am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2	99.33%, 99.05%, 98.88%, 99.08%, 99.21%, 99.56%, 98.59%, 98.77%	10, 8, 11, 13, 17, 10, 24, 28	Ran on FASTA - No Coverage Report
SRR32226938	2025-05-09_10-51-28	SRR32226938.fa	D1.3	PA:am4, HA:ea3, NP:am13, NS:ea3, MP:ea3, PB2:am24, NA:ea3, PB1:ea3	am4:24-030039-001:PA, ea3:22-013001-001:HA, am13:24-030039-001:NP, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:NA, ea3:22-013001-001:PB1	99.43%, 99.59%, 99.67%, 98.93%, 100.00%, 99.61%, 98.72%, 99.30%	10, 7, 5, 9, 0, 9, 18, 16	Ran on FASTA - No Coverage Report
SRR32804664	2025-05-09_10-46-32	SRR32804664.fa	D1.3	PB1:ea3, HA:ea3, NS:ea3, MP:ea3, NA:ea3, PB2:am24, NP:am13, PA:am4	ea3:22-013001-001:PB1, ea3:22-013001-001:HA, ea3:22-013001-001:NS, ea3:22-013001-001:MP, ea3:22-013001-001:NA, am24:24-030039-001:PB2, am13:24-030039-001:NP, am4:24-030039-001:PA	99.25%, 99.30%, 98.93%, 100.00%, 99.01%, 99.74%, 99.67%, 99.49%	17, 12, 9, 0, 14, 6, 5, 9	Ran on FASTA - No Coverage Report
SRR31604994	2025-05-09_10-50-07	SRR31604994.fa	B3.13	HA:ea1, PB1:am4, NA:ea1, PA:ea1, NS:am1.1, MP:ea1, NP:am8, PB2:am2.2	ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am8:23-032005-001:NP, am2.2:22-010445-001:PB2	98.36%, 99.43%, 98.94%, 98.88%, 99.17%, 98.98%, 99.00%, 98.73%	28, 13, 15, 24, 7, 10, 15, 29	Ran on FASTA - No Coverage Report
SRR31605151	2025-05-09_10-48-28	SRR31605151.fa	B3.13	NP:am8, PB2:am2.2, PA:ea1, PB1:am4, NA:ea1, HA:ea1, NS:am1.1, MP:ea1	am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP	98.93%, 98.73%, 98.88%, 99.47%, 98.94%, 98.36%, 99.17%, 98.98%	16, 29, 24, 12, 15, 28, 7, 10	Ran on FASTA - No Coverage Report
SRR32006806	2025-05-09_10-51-07	SRR32006806.fa	B3.13	NS:am1.1, PA:ea1, PB2:am2.2, NP:am8, MP:ea1, HA:ea1, NA:ea1, PB1:am4	am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am4:23-001855-001:PB1	99.05%, 98.79%, 98.77%, 98.80%, 98.78%, 98.24%, 98.79%, 99.52%	8, 26, 28, 18, 12, 30, 17, 11	Ran on FASTA - No Coverage Report
SRR31885904	2025-05-09_10-50-52	SRR31885904.fa	B3.13	NA:ea1, HA:ea1, NS:am1.1, PB2:am2.2, NP:am8, PA:ea1, MP:ea1, PB1:am4	ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am4:23-001855-001:PB1	98.79%, 98.36%, 99.17%, 98.73%, 98.93%, 98.93%, 98.98%, 99.52%	17, 28, 7, 29, 16, 23, 10, 11	Ran on FASTA - No Coverage Report
SRR29740427	2025-05-09_10-48-24	SRR29740427.fa	C2.1	NS:ea1, HA:ea2, PB2:am19, MP:ea1, PA:am3, PB1:am20, NA:ea2, NP:ea1	ea1:22-003707-003:NS, ea2:23-030074-013:HA, am19:23-036193-005:PB2, ea1:22-003707-003:MP, am3:23-036657-001:PA, am20:23-036657-001:PB1, ea2:23-004612-024:NA, ea1:22-003707-003:NP	99.05%, 99.59%, 99.91%, 99.29%, 99.67%, 99.60%, 99.57%, 99.47%	8, 7, 2, 7, 7, 9, 6, 8	Ran on FASTA - No Coverage Report
SRR31821126	2025-05-09_10-50-39	SRR31821126.fa	B3.13	NP:am8, NA:ea1, PA:ea1, MP:ea1, HA:ea1, PB1:am4, NS:am1.1, PB2:am2.2	am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2	98.93%, 98.86%, 98.93%, 98.98%, 98.35%, 99.47%, 99.17%, 98.73%	16, 16, 23, 10, 28, 12, 7, 29	Ran on FASTA - No Coverage Report
SRR31914633	2025-05-09_10-50-58	SRR31914633.fa	B3.13	PA:ea1, PB2:am2.2, PB1:am4, HA:ea1, NS:am1.1, NA:ea1, NP:am8, MP:ea1	ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am8:23-032005-001:NP, ea1:22-003707-003:MP	98.93%, 98.68%, 99.38%, 98.36%, 99.17%, 98.94%, 98.93%, 98.98%	23, 30, 14, 28, 7, 15, 16, 10	Ran on FASTA - No Coverage Report
SRR30332714	2025-05-09_10-49-00	SRR30332714.fa	B3.13	PB2:am2.2, MP:ea1, HA:ea1, NA:ea1, PA:ea1, NS:am1.1, PB1:am4, NP:am8	am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am8:23-032005-001:NP	98.64%, 98.98%, 98.65%, 98.79%, 99.21%, 99.05%, 99.56%, 99.13%	31, 10, 23, 17, 17, 8, 10, 13	Ran on FASTA - No Coverage Report
SRR31605001	2025-05-09_10-49-33	SRR31605001.fa	B3.13	NS:am1.1, NP:am8, HA:ea1, PA:ea1, MP:ea1, NA:ea1, PB1:am4, PB2:am2.2	am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2	99.05%, 98.93%, 98.53%, 99.07%, 98.98%, 98.94%, 99.52%, 98.60%	8, 16, 25, 20, 10, 15, 11, 32	Ran on FASTA - No Coverage Report
SRR32513155	2025-05-09_10-51-48	SRR32513155.fa	Not assigned: No Matching Genotypes	NA:ea3, HA:ea3, MP:ea3, PB2:am24, NS:ea3, PA:am7, PB1:ea3, NP:am13	ea3:22-013001-001:NA, ea3:22-013001-001:HA, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am7:24-037793-001:PA, ea3:22-013001-001:PB1, am13:24-030039-001:NP	98.79%, 99.35%, 100.00%, 99.78%, 99.17%, 99.24%, 99.34%, 99.93%	17, 11, 0, 5, 7, 10, 15, 1	Ran on FASTA - No Coverage Report
SRR32416478	2025-05-09_10-46-07	SRR32416478.fa	D1.1	NP:am13, MP:ea3, PB1:ea3, PB2:am24, NA:am4N1, HA:ea3, PA:am4, NS:ea3	am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:NS	99.67%, 99.90%, 99.34%, 99.91%, 99.33%, 99.47%, 99.86%, 99.28%	5, 1, 15, 2, 7, 9, 3, 6	Ran on FASTA - No Coverage Report
SRR32654176	2025-05-09_10-52-16	SRR32654176.fa	D1.1	PB2:am24, NS:ea3, NP:am13, PA:am4, NA:am4N1, MP:ea3, PB1:ea3, HA:ea3	am24:24-030039-001:PB2, ea3:22-013001-001:NS, am13:24-030039-001:NP, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:HA	99.69%, 99.05%, 99.60%, 99.72%, 99.11%, 99.69%, 99.08%, 99.35%	7, 8, 6, 5, 10, 3, 21, 11	Ran on FASTA - No Coverage Report
SRR32513256	2025-05-09_10-52-02	SRR32513256.fa	D1.1	NS:ea3, PB2:am24, NA:am4N1, PB1:ea3, PA:am4, MP:ea3, HA:ea3, NP:am13	ea3:22-013001-001:NS, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am13:24-030039-001:NP	98.93%, 99.74%, 99.42%, 98.83%, 99.72%, 100.00%, 99.53%, 99.80%	9, 6, 6, 21, 5, 0, 8, 3	Ran on FASTA - No Coverage Report
SRR24839455	2025-05-09_10-45-48	SRR24839455.fa	A1	NP:ea1, PA:ea1, NS:ea1, PB2:ea1, HA:ea1, NA:ea1, MP:ea1, PB1:ea1	ea1:22-003707-003:NP, ea1:22-003707-003:PA, ea1:22-003707-003:NS, ea1:22-003707-003:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PB1	99.73%, 99.77%, 99.88%, 99.59%, 99.59%, 99.64%, 100.00%, 99.74%	4, 5, 1, 6, 7, 5, 0, 6	Ran on FASTA - No Coverage Report
SRR31959978	2025-05-09_10-45-55	SRR31959978.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB1:ea3, NS:ea3, PB2:am24, HA:ea3, PA:am4, NP:am11, MP:ea3	ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am4:24-030039-001:PA, am11:23-035084-001:NP, ea3:22-013001-001:MP	99.34%, 99.05%, 99.83%, 99.59%, 99.77%, 98.86%, 100.00%	15, 8, 4, 7, 5, 17, 0	Ran on FASTA - No Coverage Report
SRR32125692	2025-05-09_10-51-20	SRR32125692.fa	B3.13	PB2:am2.2, NA:ea1, HA:ea1, NS:am1.1, MP:ea1, PB1:am4, PA:ea1, NP:am8	am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:PA, am8:23-032005-001:NP	98.53%, 98.72%, 98.47%, 99.17%, 98.98%, 99.43%, 98.93%, 99.00%	32, 18, 26, 7, 10, 13, 23, 15	Ran on FASTA - No Coverage Report
SRR28912792	2025-05-09_10-47-19	SRR28912792.fa	B3.13	NA:ea1, PB2:am2.2, NS:am1.1, MP:ea1, PB1:am4, HA:ea1, NP:am8, PA:ea1	ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:PA	98.94%, 98.77%, 99.28%, 98.78%, 99.52%, 98.77%, 99.40%, 99.16%	15, 28, 6, 12, 11, 21, 9, 18	Ran on FASTA - No Coverage Report
SRR31820802	2025-05-09_10-50-26	SRR31820802.fa	B3.13	NA:ea1, NS:am1.1, PA:ea1, NP:am8, PB2:am2.2, PB1:am4, HA:ea1, MP:ea1	ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:MP	98.44%, 98.69%, 99.12%, 99.20%, 98.55%, 99.30%, 98.24%, 98.78%	22, 11, 19, 12, 33, 16, 30, 12	Ran on FASTA - No Coverage Report
SRR32512663	2025-05-09_10-51-37	SRR32512663.fa	D1.3	PB2:am24, PB1:ea3, HA:ea3, MP:ea3, PA:am4, NA:ea3, NP:am13, NS:ea3	am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:NS	99.87%, 98.61%, 99.41%, 100.00%, 99.66%, 99.01%, 99.87%, 99.28%	3, 25, 10, 0, 6, 14, 2, 6	Ran on FASTA - No Coverage Report
